Year,Quarter,Month,Day,Sum of High,Sum of Low
2023,Qtr 3,July,28,427.470001,413.76001
2023,Qtr 3,July,31,439.130005,426.299988
2023,Qtr 3,August,1,445.25,431.399994
2023,Qtr 3,August,2,435.559998,426.559998
2023,Qtr 3,August,3,441.929993,427.190002
2023,Qtr 3,August,4,436.5,426.269989
2023,Qtr 3,August,7,441.109985,428.910004
2023,Qtr 3,August,8,443.570007,435.100006
2023,Qtr 3,August,9,440.619995,427.589996
2023,Qtr 3,August,10,438.119995,428.690002
2023,Qtr 3,August,11,430.630005,421.329987
2023,Qtr 3,August,14,428.850006,418.779999
2023,Qtr 3,August,15,429.119995,421.040009
2023,Qtr 3,August,16,424.51001,415.25
2023,Qtr 3,August,17,415.23999,401.579987
2023,Qtr 3,August,18,406.519989,398.149994
2023,Qtr 3,August,21,409.609985,399.5
2023,Qtr 3,August,22,415.73999,407.399994
2023,Qtr 3,August,23,437.019989,417.709991
2023,Qtr 3,August,24,427.589996,406.170013
2023,Qtr 3,August,25,419.25,407.559998
2023,Qtr 3,August,28,419.829987,413.269989
2023,Qtr 3,August,29,432.170013,414.5
2023,Qtr 3,August,30,438.160004,428.350006
2023,Qtr 3,August,31,437.149994,431.230011
2023,Qtr 3,September,1,445.5,435.929993
2023,Qtr 3,September,5,453.450012,438
2023,Qtr 3,September,6,451.390015,440.48999
2023,Qtr 3,September,7,444.600006,436.700012
2023,Qtr 3,September,8,446.809998,438.850006
2023,Qtr 3,September,11,449.890015,442.75
2023,Qtr 3,September,12,445.440002,434.119995
2023,Qtr 3,September,13,438.399994,410.690002
2023,Qtr 3,September,14,411.390015,400
2023,Qtr 3,September,15,404.700012,395.029999
2023,Qtr 3,September,18,399.470001,392.600006
2023,Qtr 3,September,19,398.230011,390.25
2023,Qtr 3,September,20,397.98999,386.119995
2023,Qtr 3,September,21,395.899994,383.420013
2023,Qtr 3,September,22,386.880005,378.359985
2023,Qtr 3,September,25,386.619995,380.809998
2023,Qtr 3,September,26,384.559998,377.359985
2023,Qtr 3,September,27,384.220001,376.25
2023,Qtr 3,September,28,378.959991,371.100006
2023,Qtr 3,September,29,382.579987,375.350006
2023,Qtr 4,October,2,384.809998,376.799988
2023,Qtr 4,October,3,394.899994,372.850006
2023,Qtr 4,October,4,380.220001,373.579987
2023,Qtr 4,October,5,378.600006,367.23999
2023,Qtr 4,October,6,382.519989,367.769989
2023,Qtr 4,October,9,387.170013,377.76001
2023,Qtr 4,October,10,388.700012,372.25
2023,Qtr 4,October,11,377.809998,365.339996
2023,Qtr 4,October,12,368.829987,359.049988
2023,Qtr 4,October,13,358.929993,352.049988
2023,Qtr 4,October,16,363.079987,354.769989
2023,Qtr 4,October,17,362.700012,353.890015
2023,Qtr 4,October,18,354.790009,344.730011
2023,Qtr 4,October,19,408.950012,392.26001
2023,Qtr 4,October,20,410.640015,398.01001
2023,Qtr 4,October,23,407.540009,398.519989
2023,Qtr 4,October,24,416.690002,408.390015
2023,Qtr 4,October,25,418.839996,410.109985
2023,Qtr 4,October,26,417.309998,401.540009
2023,Qtr 4,October,27,410.209991,395.619995
2023,Qtr 4,October,30,412.820007,399.410004
2023,Qtr 4,October,31,412.519989,404.630005
2023,Qtr 4,November,1,420.600006,414.179993
2023,Qtr 4,November,2,426.690002,417.100006
2023,Qtr 4,November,3,434.820007,425.529999
2023,Qtr 4,November,6,435.029999,429.609985
2023,Qtr 4,November,7,437.640015,431
2023,Qtr 4,November,8,438.070007,433.679993
2023,Qtr 4,November,9,440.380005,434.350006
2023,Qtr 4,November,10,447.480011,435.51001
2023,Qtr 4,November,13,448.429993,442.600006
2023,Qtr 4,November,14,454.079987,445.640015
2023,Qtr 4,November,15,462.75,452.450012
2023,Qtr 4,November,16,467.279999,459.649994
2023,Qtr 4,November,17,467.649994,462.76001
2023,Qtr 4,November,20,476.76001,465.399994
2023,Qtr 4,November,21,477.019989,471.209991
2023,Qtr 4,November,22,482.700012,476.559998
2023,Qtr 4,November,24,480.399994,475.200012
2023,Qtr 4,November,27,482,475.350006
2023,Qtr 4,November,28,480.5,475.950012
2023,Qtr 4,November,29,480.98999,474.48999
2023,Qtr 4,November,30,478.589996,470.420013
2023,Qtr 4,December,1,475.230011,464.600006
2023,Qtr 4,December,4,461.200012,451.200012
2023,Qtr 4,December,5,456.390015,449.579987
2023,Qtr 4,December,6,460.5,445.730011
2023,Qtr 4,December,7,452.890015,448.320007
2023,Qtr 4,December,8,455.5,450.76001
2023,Qtr 4,December,11,470.649994,457.209991
2023,Qtr 4,December,12,465.609985,459.200012
2023,Qtr 4,December,13,481.25,461.980011
2023,Qtr 4,December,14,480.76001,464.76001
2023,Qtr 4,December,15,473,467.299988
2023,Qtr 4,December,18,492.040009,475.100006
2023,Qtr 4,December,19,496.140015,484.059998
2023,Qtr 4,December,20,500.890015,488.390015
2023,Qtr 4,December,21,494.399994,486.769989
2023,Qtr 4,December,22,496.019989,485.450012
2023,Qtr 4,December,26,491.480011,486.380005
2023,Qtr 4,December,27,494.019989,489.25
2023,Qtr 4,December,28,492.890015,489.070007
2023,Qtr 4,December,29,492.230011,481.940002
2024,Qtr 1,January,2,484.649994,461.859985
2024,Qtr 1,January,3,475.049988,465.769989
2024,Qtr 1,January,4,480.73999,466.529999
2024,Qtr 1,January,5,479.549988,471.799988
2024,Qtr 1,January,8,485.23999,473.649994
2024,Qtr 1,January,9,485.089996,473.799988
2024,Qtr 1,January,10,487,472.950012
2024,Qtr 1,January,11,503.410004,483.820007
2024,Qtr 1,January,12,500.790009,490.609985
2024,Qtr 1,January,16,494.149994,478.019989
2024,Qtr 1,January,17,486.209991,475.26001
2024,Qtr 1,January,18,485.769989,478.019989
2024,Qtr 1,January,19,485.670013,476.059998
2024,Qtr 1,January,22,489.799988,479.899994
2024,Qtr 1,January,23,498.959991,481.399994
2024,Qtr 1,January,24,562.5,537.070007
2024,Qtr 1,January,25,563.460022,548.460022
2024,Qtr 1,January,26,579.640015,558.429993
2024,Qtr 1,January,29,578.549988,562.679993
2024,Qtr 1,January,30,570.880005,560.820007
2024,Qtr 1,January,31,572.150024,562.039978
2024,Qtr 1,February,1,572.659973,563.830017
2024,Qtr 1,February,2,567.799988,562.369995
2024,Qtr 1,February,5,575.75,557.200012
2024,Qtr 1,February,6,566.340027,554.369995
2024,Qtr 1,February,7,567.799988,554.97998
